OBJECTID,ZIPCODE,PO_NAME,POPULATION,AREA,COUNTY,CountBusinesses,Shape_Length,Shape_Area
210,10168,New York,0.000000000000000,27810.122060390000115,New York,,742.127811961732391,27810.123226027808414
211,10105,New York,0.000000000000000,35422.156754739997268,New York,,769.015786409694329,35422.130195629477385
212,10118,New York,0.000000000000000,91733.715365020005265,New York,,1392.546643100376741,91733.668095789500512
213,10176,New York,0.000000000000000,18289.089733730001171,New York,,590.376618625853439,18289.064190030749160
214,10170,New York,0.000000000000000,61793.175134980003349,New York,,999.928299010525961,61793.180481759103714
215,10112,New York,0.000000000000000,164078.167780449992279,New York,,1776.101567021140681,164078.192136938247131
216,10122,New York,0.000000000000000,23294.638104929999827,New York,,705.235411815468410,23294.615059502080840
217,10107,New York,0.000000000000000,23030.175898009998491,New York,,716.958829360896971,23030.182084261254204
218,10103,New York,0.000000000000000,62713.253406409996387,New York,,1038.492397026423532,62713.129887243674602
219,10174,New York,0.000000000000000,44203.225551000003179,New York,,841.826839083746222,44203.181851241446566
220,10166,New York,0.000000000000000,110438.623169250000501,New York,,1363.605703827526895,110438.509359231102280
221,10169,New York,0.000000000000000,66246.346365239995066,New York,,1112.848350215881055,66246.307615015510237
222,10167,New York,0.000000000000000,80926.187244679997093,New York,,1209.135699393908453,80926.128806955442997
223,10177,New York,0.000000000000000,24688.051102270001138,New York,,645.752597687603611,24688.012867708068370
224,10172,New York,0.000000000000000,79589.100104350000038,New York,,1202.127327773855086,79589.099450086912839
225,10171,New York,0.000000000000000,23525.085920419998729,New York,,613.861066993403824,23525.039777983594831
226,10270,New York,0.000000000000000,31255.800426570000127,New York,,753.005525063919663,31255.779505388927646
227,10104,New York,0.000000000000000,89721.852547920003417,New York,,1294.596311655624049,89721.827783374392311
228,10271,New York,0.000000000000000,49236.877200470000389,New York,,939.597690855302176,49236.873824196256464
229,10110,New York,0.000000000000000,21249.063518009999825,New York,,615.250603473900583,21249.047851928888122
230,10175,New York,0.000000000000000,18685.394525470001099,New York,,573.872771101657577,18685.387897351771244
231,10151,New York,0.000000000000000,21380.268377039999905,New York,,630.447132130527052,21380.283120528034488
232,10173,New York,0.000000000000000,25689.420586600001116,New York,,1188.478029042889602,25689.443643256592622
233,10178,New York,0.000000000000000,51303.037633250001818,New York,,943.808530900097594,51303.094553561510111
234,10121,New York,0.000000000000000,115104.799347580003086,New York,,1413.870234510835189,115104.793230560768279
235,10106,New York,0.000000000000000,31052.552794759998505,New York,,863.486648860567357,31052.594832296581444
236,10158,New York,0.000000000000000,35395.770144529997197,New York,,776.992764274865408,35395.763824218833179
237,10041,New York,0.000000000000000,162236.646860659995582,New York,,1641.824769805709366,162236.584179078519810
238,10120,New York,0.000000000000000,35179.272218830003112,New York,,854.894207869718343,35179.302214794770407
239,10278,New York,0.000000000000000,206705.995177259988850,New York,,1889.287582016223496,206705.912115008948604
240,10155,New York,0.000000000000000,24784.688538340000378,New York,,838.808074562321963,24784.716087273925950
241,10043,New York,0.000000000000000,38262.364808370002720,New York,,788.627025918835216,38262.406866794604866
242,10081,New York,0.000000000000000,30240.505451360000734,New York,,777.935098160499706,30240.505451079290651
243,10096,New York,0.000000000000000,42106.114690360001987,New York,,850.992889615937202,42106.063762064499315
244,10097,New York,0.000000000000000,65826.177978580002673,New York,,1169.909993548028297,65826.189943757199217
245,10196,New York,0.000000000000000,32502.440328699998645,New York,,721.137162473212811,32502.394326878304128
246,10196,New York,0.000000000000000,3154.824973130000217,New York,,289.273727521148146,3154.834514341641352
247,10275,New York,0.000000000000000,48280.415000360000704,New York,,885.360760017524740,48280.379362025851151
248,10265,New York,0.000000000000000,17229.154964180001116,New York,,528.531490870825110,17229.142595953810087
249,10045,New York,0.000000000000000,47808.985414080001647,New York,,1050.931771576667416,47808.946318254340440
250,10047,New York,0.000000000000000,10149.779683930000829,New York,,544.561495282568899,10149.755228832922512
251,10047,New York,0.000000000000000,10149.779683930000829,New York,,544.561495282568899,10149.755228832922512
252,10080,New York,0.000000000000000,77111.447711050001089,New York,,1312.781502539678968,77111.520781924191397
253,10203,New York,0.000000000000000,37226.883581989997765,New York,,909.939909674287719,37226.888062700149021
254,10259,New York,0.000000000000000,21064.312952970001788,New York,,620.157777142008854,21064.307012014211068
255,10260,New York,0.000000000000000,52514.735082730003342,New York,,980.356292072922088,52514.764692887052661
